개념라벨,판정,큐레이션질의,규칙,폴더예시,코호트
Obstructive Apnea-Hypopnea Index for NREM sleep: (Obstructive apneas + hypopneas with >= 4% oxygen desaturation) / hour of NREM sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Harmonized/Polysomnography/Apnea-Hypopnea Indices,MESA
Obstructive Apnea-Hypopnea Index for REM sleep: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of REM sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Harmonized/Polysomnography/Apnea-Hypopnea Indices,MESA
Obstructive Apnea-Hypopnea Index for REM sleep: (Obstructive apneas + hypopneas with >= 4% oxygen desaturation) / hour of REM sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Harmonized/Polysomnography/Apnea-Hypopnea Indices,MESA
Obstructive Apnea-Hypopnea Index for supine sleep: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep in supine position,신규클래스,apnea hypopnea index|apnea,psg-subindex,Harmonized/Polysomnography/Apnea-Hypopnea Indices,MESA
Obstructive Apnea-Hypopnea Index: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Harmonized/Polysomnography/Apnea-Hypopnea Indices,MESA
Obstructive Apnea-Hypopnea Index: (Obstructive apneas + hypopneas with >= 4% oxygen desaturation) / hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Harmonized/Polysomnography/Apnea-Hypopnea Indices,MESA
Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation and with or without arousal) / hour of sleep from type II polysomnography,신규클래스,apnea hypopnea index|apnea,psg-subindex,Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,MESA
Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep from type II polysomnography,신규클래스,apnea hypopnea index|apnea,psg-subindex,Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,MESA
Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type II polysomnography,신규클래스,apnea hypopnea index|apnea,psg-subindex,Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,MESA
Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation or with arousal) / hour of sleep from type II polysomnography,신규클래스,apnea hypopnea index|apnea,psg-subindex,Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,MESA
Other reason sleep apnea not treated,설문항목,sleep apnea syndrome,tx-reason,Interim,SHHS
Other sleep disorder description,관리변수,,admin-freetext,Interim,SHHS
Overall instability (NREM),신규클래스,sleep disordered breathing|sleep apnea,psg-endotype,Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Endotypes,MESA
Overall Respiratory Disturbance Index (RDI) (Non-rapid eye movement sleep (NREM)) at >=3% oxygen desaturation,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Overall Respiratory Disturbance Index (RDI) (Rapid eye movement sleep (REM)) at >=3% oxygen desaturation,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Overall Respiratory Disturbance Index (RDI) all oxygen desaturations,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Overall Respiratory Disturbance Index (RDI) at >=3% oxygen desaturation,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Overall Respiratory Disturbance Index (RDI) at >=3% oxygen desaturation or arousal,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Overall Respiratory Disturbance Index (RDI) at >=4% oxygen desaturation,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Participant Age at MESA Sleep Visit,재질의,age|age at visit,demo-age,Administrative,MESA
Percent of sleep time in Apnea,신규클래스,apnea,psg-pct-ah,Measurements/Polysomnography/Sleep Architecture,SHHS
Percent of sleep time in Hypopnea,신규클래스,apnea,psg-pct-ah,Measurements/Polysomnography/Sleep Architecture,SHHS
Percent Time in rapid eye movement sleep (REM),신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Measurements/Polysomnography/Sleep Architecture,SHHS
