개념라벨,판정,매핑유형,최종ID,최종라벨,출처,결정근거,후보순위
Obstructive Apnea-Hypopnea Index (AHI) >= 4% - number of [obstructive apneas] and [hypopneas with >= 4% oxygen desaturation] per hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index (OAHI) at >=4% oxygen desaturation,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Overall Respiratory Disturbance Index (RDI) (Non-rapid eye movement sleep (NREM)) at >=3% oxygen desaturation,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Overall Respiratory Disturbance Index (RDI) (Rapid eye movement sleep (REM)) at >=3% oxygen desaturation,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Overall Respiratory Disturbance Index (RDI) all oxygen desaturations,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Overall Respiratory Disturbance Index (RDI) at >=3% oxygen desaturation,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Overall Respiratory Disturbance Index (RDI) at >=3% oxygen desaturation or arousal,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Overall Respiratory Disturbance Index (RDI) at >=4% oxygen desaturation,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Minutes spent in rapid eye movement sleep (REM),신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Number of sleep to awake shifts per hour,신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,큐레이션질의-1순위,1
Percent Time in Stage 1,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Percent Time in Stage 2,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Percent Time in Stage 3/4,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Percent Time in rapid eye movement sleep (REM),신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Percent Time non-supine,신규클래스,관련(광의),SNOMED:40199007,Supine body position,snomed,정확일치,1
Percent Time supine,신규클래스,관련(광의),SNOMED:40199007,Supine body position,snomed,정확일치,1
Percent of sleep time in Apnea,신규클래스,관련(광의),HP:0002104,Apnea,hp,정확일치,1
Percent of sleep time in Hypopnea,신규클래스,관련(광의),HP:0002104,Apnea,hp,정확일치,1
Rapid eye movement sleep (REM) Latency I,신규클래스,관련(광의),OBA:2040172,sleep latency,efo,정확일치,1
Rapid eye movement sleep (REM) Latency I - including wake time,신규클래스,관련(광의),OBA:2040172,sleep latency,efo,정확일치,1
Rapid eye movement sleep (REM) Latency II - excluding wake,신규클래스,관련(광의),OBA:2040172,sleep latency,efo,정확일치,1
"Sleep Time (Non-rapid eye movement sleep (NREM), Non-supine)",신규클래스,관련(광의),NBO:0000160,sleep duration,mondo,정확일치,1
"Sleep Time (Non-rapid eye movement sleep (NREM), Supine)",신규클래스,관련(광의),NBO:0000160,sleep duration,mondo,정확일치,1
"Sleep Time (Rapid eye movement sleep (REM), Non-supine)",신규클래스,관련(광의),NBO:0000160,sleep duration,mondo,정확일치,1
"Sleep Time (Rapid eye movement sleep (REM), Supine)",신규클래스,관련(광의),NBO:0000160,sleep duration,mondo,정확일치,1
Time in Stage 3/4,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Time in stage 1 sleep,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Time in stage 2 sleep,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Time in stage 3-4 sleep,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Time in stage 3/4 sleep,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation and with or without arousal) / hour of sleep from type II polysomnography,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep from type II polysomnography,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type II polysomnography,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation or with arousal) / hour of sleep from type II polysomnography,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type II polysomnography,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation and with or without arousal) / hour of sleep from type II polysomnography,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep from type II polysomnography,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type II polysomnography,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
